Expanded_Public_Data
EmployeeID,Department,YearsExperience,Salary,JobLevel,JobRole,GenderIdentity,Race,DisabilityStatus
1,Parks and Rec,7.0,85000.0,3,Analyst,Male,White,No
2,Public Safety,20.0,85000.0,1,Officer,Female,Hispanic,No
3,Housing,18.0,60000.0,1,Analyst,Male,Other,Yes
4,Administration,15.0,75000.0,1,Teacher,Male,Other,Yes
5,Parks and Rec,5.0,45000.0,2,Coordinator,Male,Asian,No
6,Education,5.0,50000.0,1,Director,Female,White,No
7,Parks and Rec,,65000.0,3,Officer,Non-binary,White,No
8,Housing,15.0,70000.0,1,Manager,Male,Black,No
9,Administration,3.0,75000.0,3,Teacher,Female,Asian,No
10,Public Safety,7.0,55000.0,2,Teacher,Male,Black,No
11,Housing,5.0,75000.0,3,Manager,Male,Black,Yes
12,Housing,18.0,75000.0,1,Assistant,Female,Black,Yes
13,Education,10.0,80000.0,2,Teacher,Male,Hispanic,No
14,Public Works,12.0,70000.0,2,Senior Analyst,Female,Hispanic,No
15,Administration,12.0,65000.0,1,Coordinator,Female,Black,No
16,Finance,3.0,60000.0,1,Officer,Female,Asian,No
17,Housing,12.0,55000.0,3,Manager,Female,White,Yes
18,Public Works,10.0,80000.0,2,Senior Analyst,Female,Asian,No
19,Finance,5.0,85000.0,1,Manager,Male,Other,No
20,Administration,20.0,50000.0,1,Officer,Male,Hispanic,Yes
21,Health,12.0,50000.0,2,Analyst,Male,White,Yes
22,Public Works,12.0,55000.0,2,Officer,Male,White,No
23,Transportation,18.0,55000.0,1,Assistant,Male,Other,Yes
24,Health,12.0,85000.0,1,Officer,Male,Other,No
25,Education,5.0,45000.0,1,Officer,Female,Black,Yes
26,Parks and Rec,3.0,,2,Assistant,Female,Hispanic,No
27,Public Safety,10.0,55000.0,2,Coordinator,Male,Hispanic,Yes
28,Transportation,5.0,45000.0,1,Teacher,Female,Asian,No
29,Education,7.0,55000.0,3,Officer,Male,Black,No
30,Administration,18.0,65000.0,2,Assistant,Female,Black,No
31,Education,7.0,65000.0,1,Senior Analyst,Male,Black,No
32,Parks and Rec,3.0,50000.0,1,Analyst,Non-binary,Black,No
33,Administration,7.0,60000.0,1,Analyst,Male,Hispanic,Yes
34,Transportation,20.0,60000.0,3,Officer,Female,Hispanic,No
35,Parks and Rec,5.0,60000.0,2,Coordinator,Female,Black,No
36,Finance,12.0,50000.0,2,Coordinator,Non-binary,Asian,No
37,Public Safety,,60000.0,2,Senior Analyst,Non-binary,White,No
38,Transportation,7.0,85000.0,2,Officer,Female,White,Yes
39,Finance,7.0,55000.0,2,Analyst,Male,Asian,Yes
40,Transportation,3.0,80000.0,1,Coordinator,Female,Black,No
41,Administration,10.0,55000.0,2,Officer,Female,Hispanic,No
42,Finance,10.0,55000.0,1,Manager,Female,White,No
43,Public Safety,12.0,60000.0,1,Coordinator,Female,Other,No
44,Parks and Rec,5.0,65000.0,1,Assistant,Non-binary,Other,No
45,Housing,5.0,75000.0,1,Manager,Male,Asian,No
