EmployeeID,Department,YearsExperience,Salary,JobLevel,JobRole,Race,DisabilityStatus
1,Parks and Rec,14.91,59928.04,2,Senior Coordinator,White,No
2,Public Safety,16.22,80750.22,3,Senior Analyst,Hispanic,No
3,Housing,2.42,43646.46,1,Assistant,Other,Yes
4,Administration,7.32,64243.84,2,Manager,Other,Yes
5,Parks and Rec,18.3,78014.17,3,Senior Manager,Asian,No
6,Education,14.43,70988.32,2,Analyst,White,No
7,Parks and Rec,11.5,68893.93,2,Analyst,White,No
8,Housing,11.08,60442.9,2,Analyst,Black,No
9,Administration,10.13,66804.61,2,Senior Coordinator,Asian,No
10,Public Safety,25.25,76923.83,3,Senior Analyst,Black,No
11,Housing,7.31,55997.53,2,Analyst,Black,Yes
12,Housing,2.15,42426.68,1,Junior Analyst,Black,Yes
13,Education,6.77,56831.64,2,Manager,Hispanic,No
14,Public Works,7.2,73346.27,2,Senior Coordinator,Hispanic,No
15,Administration,6.86,57736.37,2,Manager,Black,No
16,Finance,16.14,92407.22,3,Senior Manager,Asian,No
17,Housing,2.19,44959.56,1,Coordinator,White,Yes
18,Public Works,12.8,74004.75,2,Analyst,Asian,No
19,Finance,27.77,83496.87,3,Senior Analyst,Other,No
20,Administration,8.5,57528.11,2,Senior Coordinator,Hispanic,Yes
21,Health,1.93,48647.2,1,Junior Analyst,White,Yes
22,Public Works,5.58,58702.66,2,Manager,White,No
23,Transportation,14.69,59254.22,2,Analyst,Other,Yes
24,Health,22.43,93119.17,3,Director,Other,No
25,Education,1.17,45889.72,1,Coordinator,Black,Yes
26,Parks and Rec,22.21,76633.91,3,Senior Analyst,Hispanic,No
27,Public Safety,13.84,65213.03,2,Senior Coordinator,Hispanic,Yes
28,Transportation,14.28,69644.5,2,Analyst,Asian,No
29,Education,23.89,82882.26,3,Senior Analyst,Black,No
30,Administration,27.37,88487.28,3,Director,Black,No
31,Education,20.22,94768.08,3,Senior Analyst,Black,No
32,Parks and Rec,25.17,82968.81,3,Senior Analyst,Black,No
33,Administration,1.07,38901.7,1,Assistant,Hispanic,Yes
34,Transportation,23.49,90647.28,3,Senior Analyst,Hispanic,No
35,Parks and Rec,19.01,97149.44,3,Senior Analyst,Black,No
36,Finance,28.18,90396.58,3,Senior Manager,Asian,No
37,Public Safety,14.95,71131.22,2,Manager,White,No
38,Transportation,4.95,36420.98,1,Coordinator,White,Yes
39,Finance,2.71,39540.56,1,Coordinator,Asian,Yes
40,Transportation,26.96,80823.99,3,Senior Manager,Black,No
41,Administration,6.74,68175.67,2,Analyst,Hispanic,No
42,Finance,24.88,75610.02,3,Senior Manager,White,No
43,Public Safety,8.96,68845.53,2,Senior Coordinator,Other,No
44,Parks and Rec,12.58,71983.91,2,Analyst,Other,No
45,Housing,11.96,59993.36,2,Senior Coordinator,Asian,No
46,Education,6.54,58309.65,2,Analyst,Black,Yes
47,Health,13.16,53481.77,2,Senior Coordinator,White,Yes
48,Public Safety,2.54,44033.55,1,Assistant,Black,Yes
49,Finance,3.72,36694.25,1,Coordinator,White,Yes
50,Housing,7.24,67278.02,2,Senior Coordinator,Asian,Yes
51,Public Safety,1.87,42700.94,1,Junior Analyst,Asian,Yes
