EmployeeID,Department,YearsExperience,Salary,JobLevel,JobRole,GenderIdentity,Race,DisabilityStatus
1,Health,5,55000,1,Manager,Male,White,No
2,Education,12,62000,2,Analyst,Female,Black,Yes
3,Finance,7,48000,1,Officer,Non-binary,Asian,No
4,Public Safety,3,45000,1,Coordinator,Female,Hispanic,Yes
5,Administration,10,75000,2,Director,Male,White,No
6,Transportation,15,90000,3,Supervisor,Non-binary,Black,No
7,Parks and Rec,20,55000,1,Assistant,Male,Asian,Yes
8,Housing,8,48000,2,Manager,Female,Hispanic,No
9,Environmental,13,67000,3,Analyst,Female,Other,Yes
10,Public Works,18,60000,2,Director,Non-binary,White,No
11,Health,5,55000,1,Manager,Male,White,No
12,Education,12,62000,2,Analyst,Female,Black,Yes
13,Finance,7,48000,1,Officer,Non-binary,Asian,No
14,Public Safety,3,45000,1,Coordinator,Female,Hispanic,Yes
15,Administration,10,75000,2,Director,Male,White,No
16,Transportation,15,90000,3,Supervisor,Non-binary,Black,No
17,Parks and Rec,20,55000,1,Assistant,Male,Asian,Yes
18,Housing,8,48000,2,Manager,Female,Hispanic,No
19,Environmental,13,67000,3,Analyst,Female,Other,Yes
20,Public Works,18,60000,2,Director,Non-binary,White,No
21,Health,5,55000,1,Manager,Male,White,No
22,Education,12,62000,2,Analyst,Female,Black,Yes
23,Finance,7,48000,1,Officer,Non-binary,Asian,No
24,Public Safety,3,45000,1,Coordinator,Female,Hispanic,Yes
25,Administration,10,75000,2,Director,Male,White,No
26,Transportation,15,90000,3,Supervisor,Non-binary,Black,No
27,Parks and Rec,20,55000,1,Assistant,Male,Asian,Yes
28,Housing,8,48000,2,Manager,Female,Hispanic,No
29,Environmental,13,67000,3,Analyst,Female,Other,Yes
30,Public Works,18,60000,2,Director,Non-binary,White,No
31,Health,5,55000,1,Manager,Male,White,No
32,Education,12,62000,2,Analyst,Female,Black,Yes
33,Finance,7,48000,1,Officer,Non-binary,Asian,No
34,Public Safety,3,45000,1,Coordinator,Female,Hispanic,Yes
35,Administration,10,75000,2,Director,Male,White,No
36,Transportation,15,90000,3,Supervisor,Non-binary,Black,No
37,Parks and Rec,20,55000,1,Assistant,Male,Asian,Yes
38,Housing,8,48000,2,Manager,Female,Hispanic,No
39,Environmental,13,67000,3,Analyst,Female,Other,Yes
40,Public Works,18,60000,2,Director,Non-binary,White,No
